time_s,miss_maneuver_m,miss_heading_m
2.78001000000144,-0.000190336641783305,0.0138361427124752
2.79001000000146,-0.000149569203072594,0.0133656429986507
2.80001000000148,-0.000110187477602102,0.0129115385800205
2.81001000000151,-7.21431288212901e-05,0.0124732905241752
2.82001000000153,-3.53894114012737e-05,0.0120503760716867
2.83001000000155,1.18876631051027e-07,0.0116422882261176
2.84001000000157,3.44254405395377e-05,0.0112485353505236
2.85001000000159,6.7572534325647e-05,0.0108686407705779
2.86001000000161,9.96010049956477e-05,0.0105021423844269
2.87001000000163,0.000130550335668483,0.0101485922793695
2.88001000000165,0.000160458687544873,0.00980755635543553
2.89001000000167,0.000189362940758435,0.00947861395592176
2.9000100000017,0.00021729873412973,0.00916135750493212
2.91001000000172,0.000244300503844314,0.00885539215195158
2.92001000000174,0.000270401521075874,0.00856033542347337
2.93001000000176,0.000295633928575632,0.00827581688168566
2.94001000000178,0.000320028776249167,0.00800147779021338
2.9500100000018,0.000343616055741777,0.00773697078690062
2.96001000000182,0.000366424734053464,0.00748195956360934
2.97001000000184,0.000388482786204527,0.00723611855300165
2.98001000000186,0.000409817226972621,0.00699913262226459
2.99001000000189,0.000430454141722057,0.00677069677372913
3.00001000000191,0.000450418716345888,0.00655051585232794
3.01001000000193,0.000469735266341223,0.00633830425983066
3.02001000000195,0.000488427265037974,0.00613378567578929
3.03001000000197,0.000506517371001037,0.00593669278512126
3.04001000000199,0.000524027454625709,0.00574676701225321
3.05001000000201,0.000540978623945864,0.00556375826174389
3.06001000000203,0.000557391249674209,0.00538742466530098
3.07001000000205,0.000573284989493626,0.0052175323351033
3.08001000000208,0.000588678811618398,0.00505385512333654
3.0900100000021,0.00060359101764377,0.00489617438784819
3.10001000000212,0.000618039264702077,0.00474427876382493
3.11001000000214,0.000632040586943319,0.00459796394139383
3.12001000000216,0.000645611416357807,0.00445703244904663
3.13001000000218,0.000658767602958174,0.00432129344278536
3.1400100000022,0.000671524434337753,0.00419056250088614
3.15001000000222,0.000683896654622005,0.00406466142417694
3.16001000000224,0.000695898482829374,0.00394341804172464
3.17001000000227,0.00070754363065762,0.00382666602182604
3.18001000000229,0.000718845319711375,0.00371424468819711
3.19001000000231,0.000729816298186348,0.00360599884125486
3.20001000000233,0.00074046885702528,0.00350177858438599
3.21001000000235,0.000750814845560457,0.00340143915509692
3.22001000000237,0.000760865686657224,0.00330484076093991
3.23001000000239,0.000770632391372703,0.00321184842011075
3.24001000000241,0.000780125573143519,0.00312233180661381
3.25001000000243,0.000789355461516106,0.00303616509989111
3.26001000000246,0.000798331915432801,0.00295322683881304
3.27001000000248,0.000807064436086656,0.00287339977992884
3.2800100000025,0.00081556217935758,0.00279657075987659
3.29001000000252,0.000823833967842142,0.00272263056185286
3.30001000000254,0.000831888302489047,0.00265147378604402
3.31001000000256,0.000839733373852013,0.00258299872392181
3.32001000000258,0.000847377072971506,0.00251710723630751
3.3300100000026,0.000854827001896463,0.00245370463511018
3.34001000000262,0.000862090483856904,0.00239269956864587
3.35001000000265,0.000869174573098003,0.00233400391044612
3.36001000000267,0.000876086064385965,0.00227753265146552
3.37001000000269,0.000882831502195756,0.00222320379559967
3.38001000000271,0.000889417189590466,0.0021709382584262
3.39001000000273,0.000895849196801867,0.00212065976908337
3.40001000000275,0.000902133369521417,0.00207229477520198
3.41001000000277,0.000908275336910756,0.00202577235080818
3.42001000000279,0.000914280519340468,0.00198102410711608
3.43001000000281,0.00092015413586566,0.00193798410613098
3.44001000000284,0.000925901211446662,0.00189658877698529
3.45001000000286,0.000931526583922929,0.00185677683493109
3.46001000000288,0.000937034910747988,0.00181848920291467
3.4700100000029,0.000942430675493077,0.00178166893566007
3.48001000000292,0.000947718194126865,0.00174626114619031
3.49001000000294,0.000952901621078485,0.00171221293471641
3.50001000000296,0.00095798495509085,0.00167947331982592
3.51001000000298,0.00096297204487106,0.00164799317190434
3.520010000003,0.000967866594544483,0.00161772514872434
3.53001000000303,0.000972672168918934,0.00158862363313892
3.54001000000305,0.000977392198565138,0.00156064467281668
3.55001000000307,0.00098202998471953,0.00153374592195849
3.56001000000309,0.000986588704015229,0.00150788658493636
3.57001000000311,0.000991071413046868,0.00148302736179692
3.58001000000313,0.000995481052774786,0.00145913039557338
3.59001000000315,0.000999820452773916,0.00143615922135096
3.60001000000317,0.00100409233533254,0.00141407871703254
3.61001000000319,0.00100829931940597,0.00139285505575254
3.62001000000321,0.0010124439244299,0.00137245565988817
3.63001000000324,0.00101652857399837,0.00135284915661897
